pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,duration_s,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,0.25,500000,2,0.7,275,145.35935927272726,136.756,305.568,315.657,51.9834,33825,6544,0,0,29867,6544,0,0,19.346637102734665,0.0,19.346637102734665,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,0.25,500000,3,4.36,275,154.15239381818182,152.939,292.625,328.346,51.9834,33825,5489,2,0,23322,5413,0,0,16.227642276422763,0.005912786400591279,16.002956393200297,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,0.25,500000,3,2.25,275,151.53296436363635,147.632,286.068,343.103,51.9834,33825,5815,0,0,24836,5739,0,0,17.191426459719143,0.0,16.966740576496672,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,0.25,500000,3,2.41,275,142.03787454545463,138.18,268.212,329.134,51.9834,33825,6013,1,0,27292,5949,0,0,17.77679231337768,0.0029563932002956393,17.587583148558757,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,0.25,500000,3,2.06,275,140.10860654545453,133.617,296.335,300.053,51.9834,33825,6174,1,0,30215,6096,0,0,18.252771618625278,0.0029563932002956393,18.02217294900222,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,0.25,500000,3,2.71,275,139.99665272727262,133.617,276.683,300.778,51.9834,33825,6220,0,0,30071,6139,0,0,18.38876570583888,0.0,18.14929785661493,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,0.25,500000,3,0.73,275,139.39067418181813,133.752,310.978,362.515,51.9834,33825,6183,0,0,30109,6183,0,0,18.27937915742794,0.0,18.27937915742794,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,0.25,500000,4,2.16,275,153.21956581818185,149.399,311.283,331.842,51.9834,33825,5232,0,0,23229,5161,0,0,15.467849223946786,0.0,15.257945306725794,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,0.25,500000,4,2.36,275,150.2513301818181,144.05,311.084,315.732,51.9834,33825,5585,0,0,24442,5502,0,0,16.511456023651146,0.0,16.266075388026607,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,0.25,500000,4,2.69,275,142.6126407272727,138.159,300.038,326.292,51.9834,33825,5779,0,0,26923,5688,0,0,17.0849963045085,0.0,16.815964523281597,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,0.25,500000,4,2.48,275,140.82699890909083,133.627,319.778,323.762,51.9834,33825,5925,1,0,29402,5828,0,0,17.516629711751662,0.0029563932002956393,17.229859571322987,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,0.25,500000,4,2.78,275,141.45174581818185,133.622,293.801,314.783,51.9834,33825,5977,0,0,29423,5876,0,0,17.670362158167038,0.0,17.371766444937176,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,0.25,500000,4,0.69,275,155.3108618181818,140.257,321.473,334.083,51.9834,33825,6931,0,0,29296,6931,0,0,20.490761271249077,0.0,20.490761271249077,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,0.25,500000,5,1.7,275,158.48268945454555,163.898,317.767,330.851,51.9834,33825,5439,0,0,22773,5402,0,0,16.07982261640798,0.0,15.970436067997044,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,0.25,500000,5,1.38,275,153.7777167272727,154.489,313.649,317.483,51.9834,33825,5869,1,0,23935,5823,0,0,17.351071692535108,0.0029563932002956393,17.215077605321508,0.0
